Hanzi	Definition	Pinyin	Pinyin2	HSK	Formation	Examples
帽	hat, cap	mào		3	Pictophonetic - Towel 巾 suggests the meaning while 冒 provides the pronunciation.	帽子[màozǐ]: cap, hat<br>安全帽[ānquánmào]: safety helmet<br>礼帽[lǐmào]: western-style man's hat
哀	sorrow, grief, pity, to grieve for, to pity	āi		6	Pictophonetic - Mouth 口 suggests the meaning while 衣 provides the pronunciation.	悲哀[bēiāi]: grieved, sorrowful<br>哀伤[āishāng]: grief, distress, bereavement, grieved, heart-broken<br>哀悼[āidào]: mourn
宿	lodge for the night, rest, stay overnight, old, former	sù	xiǔ, xiù	5	Pictophonetic - House 宀 suggests the meaning while 佰 provides the pronunciation.	宿舍[sùshě]: living quarters, dormitory<br>住宿[zhùsù]: to stay at, lodging, accommodation<br>寄宿[jìsù]: to lodge, to live (in rented accommodation)
踏	to step on, to trample, to tread on, to walk	tà	tā	6	Pictophonetic - Foot 足 suggests the meaning while 沓 provides the pronunciation.	践踏[jiàntà]: to trample<br>踏实[tāshi]: practical, down-to-earth, realistic, firmly based, steadfast<br>踏板[tàbǎn]: pedal
烂	overcooked, rotten, soft, spoiled, decayed	làn		5	Pictophonetic - Fire 火 suggests the meaning while 兰 provides the pronunciation.	灿烂[cànlàn]: to glitter, brilliant, splendid<br>腐烂[fǔlàn]: to rot, to become gangrenous<br>焦头烂额[jiāotóulàné]: lit. beaten head and scorched brow, beaten black and blue, fig. in trouble, in terrible shape, hard pressed
袁	robe, surname Yuan	yuán			Ideograph - Soil 土, cloth 衣 and mouth 口	
侯	marquis, lord, target in archery	hóu			Pictophonetic - Person 亻 suggests the meaning while 矦 provides the pronunciation.	王侯公卿[wánghóugōngqīng]: aristocracy
抖	to shake, to tremble, to shiver, to jerk	dǒu		5	Pictophonetic - hand 扌 with fight 斗 (phonetic)	发抖[fādǒu]: to tremble, to shake, to shiver<br>颤抖[chàndǒu]: to shudder, to shiver, to shake, to tremble<br>抖动[dǒudòng]: to tremble
夹	to press from either side, to place in between, to sandwich, to carry something under armpit, wedged between	jiā	jiǎ, gā	5	Pictograph - Simplified form of 夾, a person 大 standing between two people 人	夹子[jiāzi]: clip, clamp, tongs, folder, wallet<br>夹杂[jiāzá]: to mix together (disparate substances), to mingle, a mix, to be tangled up with<br>夹克[jiākè]: jacket (loanword)
昆	elder brother, descendants, Kunlun mountains	kūn		5	Ideograph - Together 比 under the sun 日	昆虫[kūnchóng]: insect, hexapod<br>昆虫学[kūnchóngxué]: entomology<br>昆明[kūnmíng]: Kunming prefecture level city and capital of Yunnan province in southwest China
肝	liver	gān			Pictophonetic - Flesh 月(肉) with the phonetic component 干 (dry)	肝脏[gānzàng]: liver<br>心肝[xīngān]: conscience, darling, character, sincerity, cordiality<br>肝炎[gānyán]: hepatitis
擦	to wipe, to erase, to clean, to polish	cā		4	Pictophonetic - Hand 扌 suggests the meaning while 察 provides the pronunciation.	摩擦[mócā]: rub, scrape<br>擦伤[cāshāng]: scratch, abrasion, graze, friction burn, bruise to scrape<br>擦掉[cādiào]: wipe
猪	hog, pig, swine, wild boar	zhū		5	Pictophonetic - Dog 犭 suggests the meaning while 者 provides the pronunciation.	猪排[zhūpái]: pork ribs, pork chop<br>猪肉[zhūròu]: pork<br>野猪[yězhū]: wild boar (Sus scrofa)
炼	to smelt, to refine, to distill, to condense	liàn		3	Pictophonetic - Fire 火 suggests the meaning while the right component (simplified form of 柬) provides the pronunciation.	锻炼[duànliàn]: to engage in physical exercise, to toughen, to temper<br>提炼[tíliàn]: to extract (ore, minerals etc), to refine, to purify, to process<br>修炼[xiūliàn]: (of Taoists) to practice austerities, to practice asceticism
恒	constant, permanent, regular, persistent	héng		6	Pictophonetic - In one's heart forever. Heart 忄 suggests the meaning while 亘 provides the pronunciation.	永恒[yǒnghéng]: eternal, everlasting, fig. to pass into eternity (i.e. to die)<br>恒久[héngjiǔ]: constant, persistent, long-lasting, eternal<br>恒星[héngxīng]: star
慎	cautious	shèn		5	Pictophonetic - Heart 忄 suggests the meaning while 真 provides the pronunciation.	谨慎[jǐnshèn]: cautious, prudent<br>慎重[shènzhòng]: cautious, careful, prudent<br>小心谨慎[xiǎoxīnjǐnshèn]: cautious and timid, prudent, careful
搬	remove, transport, move, shift, apply indiscriminately	bān		3	Pictophonetic - Hand 扌 suggests the meaning while 般 provides the pronunciation.	搬家[bānjiā]: to move house, removal<br>搬走[bānzǒu]: to carry<br>搬运[bānyùn]: freight, transport, portage, to transport, to carry
纽	knot, button, handle, knob, tie	niǔ		6	Pictophonetic - Strings 纟 with the phonetic component 丑 (ugly)	纽约[niǔyuē]: New York<br>纽带[niǔdài]: tie, link, bond<br>纽扣[niǔkòu]: button
纹	line, trace, mark, streak, stripe	wén		6	Pictophonetic - Strings 纟 with the phonetic component 文 (culture)	皱纹[zhòuwén]: wrinkle-line, wrinkle, furrow, rimple, crumple<br>指纹[zhǐwén]: fingerprint, finger-print<br>条纹[tiáowén]: stripe
玻	glass	bō		5	Picotphonetic - Jade 王 suggests the meaning while 皮 provides the pronunciation	玻璃[bōlí]: glass<br>玻璃杯[bōlibēi]: drinking glass<br>窗玻璃[chuāngbōlí]: window pane
渔	to fish, fisherman, to seize, to pursue	yú		6	Pictophonetic - Water 氵 suggests the meaning while 鱼 provides the pronunciation.	渔民[yúmín]: fishing-person, fisherman, fishing people<br>渔夫[yúfū]: fisherman<br>渔船[yúchuán]: fishing boat
磁	magnetic, magnetism, porcelain	cí		6	Pictophonetic - Rock 石 suggests the meaning while 兹 provides the pronunciation.	磁带[cídài]: magnetic tape<br>核磁共振[hécígòngzhèn]: nuclear magnetic resonance (NMR)<br>电磁[diàncí]: electromagnetic
铜	copper, brass, bronze	tóng		6	Pictophonetic - Metal 钅 suggests the meaning while 同 provides the pronunciation.	古铜色[gǔtóngsè]: bronze color<br>铜板[tóngbǎn]: copper coin<br>铜牌[tóngpái]: bronze medal
齿	teeth, gears, cogs, age, simplified form of the KangXi radical number 211	chǐ		5	Pictophonetic - Picture of tooth with phonetic component 止	牙齿[yáchǐ]: tooth<br>上口齿[shàngkǒuchǐ]: supraoral tooth<br>上齿[shàngchǐ]: upper teeth
跨	to straddle, to bestride, to step across, to step astride, to ride	kuà		6	Pictophonetic - Foot 足 suggests the meaning while 夸 provides the pronunciation.	跨越[kuàyuè]: to step across, step over<br>跨过[kuàguò]: to surmount, to cross over<br>横跨[héngkuà]: to span, to stretch across
押	mortgage, pledge, to deposit, to pawn, to arrest	yā		5	Pictophonetic - Hand 扌 indicates the meaning while 甲 provides the sound	押金[yājīn]: deposit, cash pledge<br>关押[guānyā]: to imprison, to lock up (in jail)<br>扣押[kòuyā]: to detain, to hold in custody, to distrain, to seize property
怖	terror, terrified, afraid, frightened	bù		6	Pictophonetic - Heart 忄 represents the meaning while 布 provides the sound	恐怖[kǒngbù]: terrible, frightful, frightening, terror, terrorist<br>恐怖主义[kǒngbùzhǔyì]: terrorism<br>恐怖片[kǒngbùpiàn]: horror movie
漠	desert, unconcerned, aloof, indifferent, cool	mò		5	Pictophonetic - Water 氵 suggests the meaning while 莫 provides the pronunciation.	沙漠[shāmò]: desert<br>冷漠[lěngmò]: cold and detached towards somebody, lack of regard, indifference, neglect<br>漠不关心[mòbùguānxīn]: not in the least concerned, quite indifferent
疲	feel tired, be exhausted, weak, weary	pí		5	Pictophonetic - Illness 疒 suggests the meaning while 皮 provides the pronunciation.	疲劳[píláo]: fatigue, wearily, weariness, weary<br>疲倦[píjuàn]: to tire, tired<br>疲惫[píbèi]: beaten, exhausted, tired
叛	rebel, rebellion, rebellious, revolt	pàn		6	Pictophonetic - Reverse 反 suggests the meaning while 半 provides the sound	背叛[bèipàn]: to betray<br>叛徒[pàntú]: traitor, turncoat, rebel, renegade, insurgent<br>反叛[fǎnpàn]: rebel, revolt
遣	to send, to dispatch, to send off, to exile	qiǎn		6	Pictophonetic - Run 辶 suggests the meaning while the rest part provides the pronunciation.	派遣[pàiqiǎn]: to send (on a mission), to dispatch<br>差遣[chāiqiǎn]: to send (on errand)<br>消遣[xiāoqiǎn]: pastime, kill time, amusement
兹	herewith, now, here, this, time	zī	cí			尼米兹号[nímǐzīhào]: Nimitz class(US nuclear-powered aircraft carrier)<br>艾兹病[àizībìng]: AIDS (loanword)
祭	to sacrifice to, to worship	jì			Pictophonetic - Spirit 礻 suggests the meaning while the upper part provides the pronunciation.	祭品[jìpǐn]: offering<br>祭奠[jìdiàn]: to offer sacrifices (to one's ancestors), to hold or attend a memorial service<br>祭拜[jìbài]: to offer sacrifice (to one's ancestors)
醉	intoxicated, drunk, to drink, intoxication	zuì		5	Pictophonetic - Wine 酉 suggests the meaning while 卒 provides the pronunciation.	陶醉[táozuì]: to be infatuated with, to be drunk with, to be enchanted with, to revel in<br>麻醉[mázuì]: anesthesia, to poison (somebody's mind)<br>沉醉[chénzuì]: become intoxicated
拳	fist, various forms of boxing	quán		5	Pictophonetic - Hand 手 suggests the meaning while the upper part provides the pronunciation.	太极拳[tàijíquán]: (a kind of traditional Chinese shadowboxing)<br>拳头[quántóu]: fist<br>拳击[quánjī]: boxing
弥	full, to fill, completely, extensive, to fix up	mí		6	Pictophonetic - Bow 弓 suggests the meaning while 尔 provides the pronunciation.	弥漫[mímàn]: to pervade, to fill the air, diffuse, everywhere present, about to inundate (water)<br>弥补[míbǔ]: to complement, to make up for a deficiency<br>弥留[míliú]: seriously ill and about to die
斜	slanting, sloping, inclined	xié		5	Pictophonetic - Ancient grain measuring tool 斗 has a slanting surface. 斗 suggests the meaning while 余 provides the pronunciation.	倾斜[qīngxié]: to incline, to lean, to slant, to slope, to tilt<br>斜坡[xiépō]: slope, incline<br>斜眼[xiéyǎn]: to look askance, cross or wall-eyed
档	file, records, shelves, frame, official records	dàng		5	Pictophonetic - Wood 木 suggests the meaning while 当 provides the pronunciation.	高档[gāodàng]: superior quality, high grade, top grade<br>搭档[dādàng]: partner<br>档案[dàngàn]: file, record, archive, Taiwan pr. dang3 an4
稀	rare, unusual, scarce, diluted, sparse	xī		6	Pictophonetic - Grain 禾 suggests the meaning while 希 provides the pronunciation.	珍稀[zhēnxī]: rare, precious and uncommon<br>稀奇[xīqí]: rare, strange<br>稀有[xīyǒu]: uncommon
捷	victory, triumph, quick, nimble, prompt	jié		6	Pictophonetic - Hand 扌 suggests the meaning while 疌 provides the pronunciation.	敏捷[mǐnjié]: nimble, quick, shrewd<br>保时捷[bǎoshíjié]: Porsche (car company)<br>快捷[kuàijié]: quick, fast, nimble, agile, (computer) shortcut
肤	skin, superficial, shallow	fū		4	Pictophonetic - Flesh 月 provides the meaning while 夫 provides the sound	皮肤[pífū]: skin<br>肌肤[jīfū]: skin, flesh, fig. close physical relationship<br>肤浅[fūqiǎn]: skin deep, superficial, shallow
疫	epidemic, plague, pestilence	yì		6	Pictophonetic - Disease 疒 suggests the meaning while 殳 provides the pronunciation.	免疫[miǎnyì]: immunity (to disease)<br>疫苗[yìmiáo]: vaccine<br>瘟疫[wēnyì]: pestilence, epidemic, plague
肿	to swell, swollen, swelling	zhǒng		6	Pictophonetic - Flesh 月 implies the meaning while 中 provides the sound	肿瘤[zhǒngliú]: tumor<br>囊肿[nángzhǒng]: cyst (med.)<br>肿块[zhǒngkuài]: swelling, growth, tumor, lump
豆	bean, peas, bean-shaped, Kangxi radical 151	dòu		5	Pictograph - picture of ancient food container with a lid 一 on the top	土豆[tǔdòu]: potato<br>豆腐[dòufu]: tofu, bean curd<br>豆子[dòuzi]: bean, pea, pulse, legume
削	scrape, pare, trim	xiāo	xuē	6	Pictophonetic - Knife刂 suggests the meaning while 肖 provides the pronunciation.	削弱[xuēruò]: to weaken<br>剥削[bōxuē]: to exploit, exploitation<br>削减[xuējiǎn]: to cut down, to reduce, to lower
岗	post, position	gǎng		6	Pictophonetic - Mountain 山 with the phonetic component 冈 (ridge)	岗位[gǎngwèi]: a post, a job<br>上岗[shànggǎng]: to take up one's post, to be given a job<br>下岗[xiàgǎng]: laid-off
晃	to sway, to shake, to shade, bright, dazzling(huang3)	huàng	huǎng	6	Pictophonetic - Sun 日 suggests the meaning while 光 provides the pronunciation.	摇晃[yáohuàng]: to rock, to shake, to sway<br>晃动[huàngdòng]: to sway, to rock<br>晃悠[huàngyou]: to swing, to sway, to wobble, to hang around, to hover around
吞	to swallow, to take, to engulf, to gulp	tūn		6	Pictophonetic - Swallow with mouth 口, 夭 provides sound	吞吞吐吐[tūntūntǔtǔ]: to hum and haw, to mumble as if hiding something, to speak and break off, then start again, to hold something back<br>狼吞虎咽[lángtūnhǔyàn]: to wolf down one's food, to devour ravenously, to gorge oneself<br>吞噬[tūnshì]: to swallow, engulf, gobble up
宏	spacious, great, vast, wide	hóng		6	Pictophonetic - Roof 宀 with the phonetic component 厷	宏伟[hóngwěi]: grand, imposing, magnificent<br>宏观[hóngguān]: macro-, macroscopic, holistic<br>宏图[hóngtú]: major undertaking, vast plan, grand prospect
癌	cancer, carcinoma	ái		6	Pictophonetic - Illness 疒 suggests the meaning while 嵒 provides the pronunciation.	癌症[áizhèng]: cancer<br>乳腺癌[rǔxiànái]: breast cancer<br>癌细胞[áixìbāo]: cancer cell
肚	belly, abdomen, bowels	dù		4	Pictophonetic - Meat 月 with the phonetic component 土 (earth)	肚子[dùzi]: belly, abdomen<br>拉肚子[lādùzi]: diarrhea<br>肚皮[dùpí]: belly
隶	to scribe, attached, subservient, servant, slave	lì		6	Pictograph - Picture of a prisoner with trips around his upper body	奴隶[núlì]: slave<br>隶属[lìshǔ]: to belong to (a category), to be attached to<br>奴隶主[núlìzhǔ]: slave owner
履	shoe, to tread on, footwear, to walk on	lǚ		6	Pictophonetic - Body 尸 suggests the meaning while 復 provides the pronunciation.	履行[lǚxíng]: to fulfill (one's obligations), to carry out (a task), to implement (an agreement), to perform<br>履历[lǚlì]: curriculum vitae, career information, career<br>履历表[lǚlìbiǎo]: curriculum vitae (CV), resume
涨	to rise (of prices, rivers)	zhǎng	zhàng	5	Pictophonetic - Water 氵 suggests the meaning while 张 provides the pronunciation.	高涨[gāozhǎng]: upsurge, (tensions etc) run high<br>上涨[shàngzhǎng]: to rise, to go up<br>暴涨[bàozhǎng]: rise suddenly and sharply
耀	to shine, to sparkle, to dazzle, brilliant, glorious	yào		6	Pictophonetic - Light 光 suggests the meaning while 翟 provides the pronunciation.	炫耀[xuànyào]: to show off, to flaunt<br>照耀[zhàoyào]: shine, illuminate<br>耀眼[yàoyǎn]: dazzling, to dazzle
扭	turn, twist, wrench, seize, grasp	niǔ		6	Pictophonetic - hand 扌 with ugly 丑 (phonetic)	别扭[bièniu]: awkward, difficult, uncomfortable, not agreeing, at loggerheads<br>扭转[niǔzhuǎn]: to reverse, to turn around (an undesirable situation)<br>扭伤[niǔshāng]: a sprain, a crick, to sprain
坛	altar, arena, examination hall	tán		6	Ideograph - Simplified form of 壇, an altar made of earth 土, 亶 provides sound	论坛[lùntán]: forum (for discussion)<br>乐坛[yuètán]: musical circles (of people), music world<br>坛子[tánzi]: jug (earthenware with a big belly and a small opening)
拨	to push aside, to appropriate (money), to move, to poke, to stir	bō		6	Pictophonetic - Hand 扌indicates the meaning while 发 provides the sound	挑拨[tiǎobō]: to incite disharmony, to instigate<br>拨号[bōhào]: dial (a telephone)<br>拨打[bōdǎ]: to call, to dial
沃	to water, to irrigate, fertile, rich	wò		6	Pictophonetic - Water 氵 with phonetic component 夭	肥沃[féiwò]: fertile<br>沃尔玛[wòěrmǎ]: Wal-Mart, Walmart (retailer)<br>沃土[wòtǔ]: fertile land
绘	to draw, to sketch, to paint	huì		6	Pictophonetic - Silk 纟 suggests the meaning while 会 provides the pronunciation.	描绘[miáohuì]: to describe, to portray<br>绘制[huìzhì]: to draw, to draft<br>绘画[huìhuà]: drawing, painting
伐	to cut down, to fell, to dispatch an expedition against, to attack, to boast	fá		6	Pictograph - A person 亻carrying an ax 戈, suggesting attack.	步伐[bùfá]: pace, (measured) step, march<br>砍伐[kǎnfá]: to hew, to cut down<br>伐木[fámù]: to cut wood, tree-felling, lumbering
堪	endure, may, can, adequately capable of, worthy of	kān		6	Pictophonetic - Ground 土 suggests the meaning while excessive 甚 provides the pronunciation.	不堪[bùkān]: cannot bear, cannot stand, utterly, extremely<br>难堪[nánkān]: hard to take, embarrassed<br>堪萨斯州[kānsàsīzhōu]: Kansas, US state
仆	fall forward, lie prostrate, prone, servant	pú	pū		Pictophonetic - A person 人 with 卜 phonetic	仆人[púrén]: servant<br>女仆[nǚpú]: female servant, drudge<br>公仆[gōngpú]: public servant
郭	outer part (of a city), surname Guo	guō			Pictophonetic - Place 阝 suggests the meaning while 享 provides the pronunciation.	
牺	to die, to sacrifice, to give up, sacrificial	xī		6	Pictophonetic - Cattle 牛 suggests the meaning while 西 provides the pronunciation.	牺牲[xīshēng]: die a martyr's death, sacrifice<br>牺牲品[xīshēngpǐn]: victim, prey, loss leader (pricing)<br>英勇牺牲[yīngyǒngxīshēng]: to heroically sacrifice one's life
歼	annihilate, exterminate, destroy, wipe out, kill off	jiān			Pictophonetic - die 歹 with thousand 千 (phonetic)	歼灭[jiānmiè]: to wipe out, to crush, to annihilate<br>全歼[quánjiān]: to annihilate, to wipe out completely, to exterminate<br>歼击[jiānjī]: to annihilate, to attack and destroy
墓	grave, tomb	mù		6	Pictophonetic - Ground 土 suggests the meaning while 莫 provides the pronunciation.	坟墓[fénmù]: sepulcher, tomb<br>墓地[mùdì]: cemetery, graveyard<br>公墓[gōngmù]: public cemetery
雇	employment, to hire, to employ	gù		6	Pictophonetic - Young bird 隹 suggests the meaning while 户 provides the pronunciation.	解雇[jiěgù]: be fired, let go<br>雇佣[gùyōng]: to employ, to hire<br>雇员[gùyuán]: employee
廉	incorrupt, inexpensive, upright, honorable, honest	lián		6	Pictophonetic - Court (house) 广 suggests the meaning while 兼 provides the pronunciation.	廉洁[liánjié]: honest, not coercive, honesty, integrity, incorruptible<br>廉价[liánjià]: cheaply-priced<br>低廉[dīlián]: cheap, inexpensive, low
契	contract, deed, bond	qì			Pictophonetic - Person 大 signing a contract. The top part provides the sound	契约[qìyuē]: agreement, contract<br>地契[dìqì]: title deed for land<br>房契[fángqì]: deed (for a house)
拼	to piece together, to join together, to stake all, adventurous, at the risk of one's life	pīn		5	Pictophonetic - Hand 扌 suggests the meaning while 并 provides the pronunciation.	拼音[pīnyīn]: phonetic writing, pinyin (Chinese romanization)<br>拼命[pīnmìng]: to do one's utmost, with all one's might, at all costs, (to work or fight) as if one's life depends on it<br>拼搏[pīnbó]: to struggle, to wrestle
惩	punish, discipline, reprimand, warn	chéng		6	Pictophonetic - Heart 心 suggests the meaning while 征 provides the pronunciation.	惩罚[chéngfá]: penalty, punishment, to punish<br>严惩[yánchéng]: to punish severely<br>惩戒[chéngjiè]: to discipline, reprimand
捉	to catch, to seize, to clutch, to grab, to capture	zhuō		6	Pictophonetic - Hand 扌 suggests the meaning while 足 provides the pronunciation.	捕捉[bǔzhuō]: to catch, to seize, to capture<br>捉住[zhuōzhù]: to catch, to grapple with, to hold onto<br>捉弄[zhuōnòng]: to tease
覆	to cover, to overflow, to reply to a letter, to overturn, to capsize	fù		6	Pictophonetic - Net (cover) 西 suggests the meaning while 復 provides the pronunciation.	覆盖[fùgài]: cover<br>天翻地覆[tiānfāndìfù]: sky and the earth turning upside down, fig. complete confusion, everything turned on its head<br>重蹈覆辙[chóngdǎofùzhé]: to follow the track of an overturned cart, to repeat a disastrous policy
刷	to brush, to paint, to scrub, to daub, to paste up	shuā		3	Pictophonetic - Knife 刂 suggests the meaning while the left component provides the pronunciation.	刷牙[shuāyá]: to brush teeth<br>印刷[yìnshuā]: print<br>刷子[shuāzi]: brush
劫	to rob, to plunder, to take by force, sufferings, disasters	jié		6	Pictophonetic - arm or strength 力 with go 去, 去 provides sound	抢劫[qiǎngjié]: to rob, looting<br>劫匪[jiéfěi]: bandit, robber<br>劫持[jiéchí]: to kidnap, to hijack, to abduct, to hold under duress
嫌	to dislike, to suspect, to hate, to detest, to criticize	xián		6	Pictophonetic - Woman 女 suggests the meaning while 兼 provides the pronunciation.	嫌疑[xiányí]: suspicion, (be) suspected (of)<br>嫌犯[xiánfàn]: criminal suspect<br>嫌疑人[xiányírén]: a suspect
瓜	melon, gourd, cucumber, squash, KangXi radical number 97	guā		2	Pictograph - Picture of vines with a gourd at the bottom	西瓜[xīguā]: watermelon<br>傻瓜[shǎguā]: idiot, fool<br>南瓜[nánguā]: pumpkin
歇	rest, stop, lodge	xiē		5	Pictophonetic - Yawn 欠 suggests the meaning while 曷 provides the pronunciation.	密歇根州[mìxiēgēnzhōu]: Michigan, US state<br>歇斯底里[xiēsīdǐlǐ]: hysterical<br>停歇[tíngxiē]: to stop for a rest
雕	to engrave, to inlay, to carve	diāo		6	Pictophonetic - Carving a bird. Bird 隹 suggests the meaning while 周 provides the pronunciation.	雕刻[diāokè]: carve, engrave, sculpt, work of carving<br>雕塑[diāosù]: a statue, a Buddhist image, sculpture, to carve<br>雕像[diāoxiàng]: statue, effigy
闷	gloomy, smother, stuffy, depressed, bored	mēn	mèn	6	Ideograph - Heart 心 locked inside a door 门	沉闷[chénmèn]: oppressive (of weather), heavy, depressed, not happy<br>郁闷[yùmèn]: melancholy, gloomy, depressed<br>纳闷[nàmèn]: feel puzzled
乳	breast, nipples, milk, suckle, milky	rǔ		6	Pictophonetic - 乚 implies the meaning while 孚 provides the sound	哺乳[bǔrǔ]: breast feeding, to suckle, to nurse<br>乳房[rǔfáng]: breast, udder<br>乳头[rǔtóu]: nipple
串	to string together, to mix up, to conspire, to connect, a string (computing)	chuàn		6	Pictograph - Two objects strung together	一连串[yīliánchuàn]: a chain of (events, errors, jobs, problems, successes etc)<br>客串[kèchuàn]: amateur player in theater, guest performer (in a show), guest appearance (in film credits)<br>串联[chuànlián]: to establish ties or contact, in series connection (electricity)
娃	baby, doll, pretty girl	wá		6	Pictophonetic - Girl 女 suggests the meaning while 圭 provides the pronunciation.	娃娃[wáwa]: baby-baby, baby, child, doll<br>洋娃娃[yángwáwá]: doll, baby of mixed Chinese and Overseas parentage (colloquial)<br>娃娃鱼[wáwayú]: Chinese giant salamander
缴	to deliver, to submit, to hand over, to hand in	jiǎo		6	Pictophonetic - String 纟 suggests the meaning while 敫 provides the pronunciation.	缴纳[jiǎonà]: to pay (taxes etc)<br>缴税[jiǎoshuì]: to pay tax<br>上缴[shàngjiǎo]: to transfer (income, profits etc) to higher authorities
唤	to call	huàn		6	Pictophonetic - Mouth 口 suggests the meaning while 奂 provides the pronunciation.	呼唤[hūhuàn]: to call out (a name etc), to shout<br>召唤[zhàohuàn]: to summon, to beckon, to call<br>传唤[chuánhuàn]: a summons (to the police), subpoena
赢	to beat, to win, to profit, surplus, gain	yíng		4	Pictophonetic - Money 贝 suggests the meaning.	赢得[yíngdé]: to win, to gain<br>输赢[shūyíng]: win or loss, outcome<br>赢利[yínglì]: gain, profit, to make a profit
莲	lotus, water lily, paradise	lián			Pictophonetic - Plant 艹 suggests the meaning while 连 provides the pronunciation.	莲花[liánhuā]: lotus flower (Nelumbo nucifera Gaertn, among others), water-lily<br>榴莲[liúlián]: durian fruit<br>睡莲[shuìlián]: water lily
霸	hegemon, tyrant, lord, feudal chief, to rule by force	bà		6	Pictophonetic - Rain 雨 suggests the meaning while 革月 provides the pronunciation.	霸道[bàdào]: overbearing<br>霸占[bàzhàn]: to occupy by force, to seize, to dominate<br>霸王[bàwáng]: hegemon, overlord, despot
桃	peach, marriage	táo		5	Pictophonetic - Tree 木 suggests the meaning while 兆 provides the pronunciation.	核桃[hétáo]: walnut<br>桃子[táozi]: peach<br>樱桃[yīngtáo]: cherry
妥	secure, sound, satisfactory, appropriate	tuǒ		6	Ideograph - a female 女 securing something with 爫(爪, claws)	妥协[tuǒxié]: to compromise, to reach terms, a compromise<br>妥善[tuǒshàn]: appropriate, proper<br>妥当[tuǒdāng]: sound-appropriate, proper, suitable, appropriate
瘦	thin, emaciated, lean, meager, tight	shòu		3	Pictophonetic - Illness 疒 suggests the meaning while 叟 provides the pronunciation.	消瘦[xiāoshòu]: to waste away, to become thin<br>瘦小[shòuxiǎo]: thin and small<br>瘦弱[shòuruò]: thin and weak
搭	build (scaffolding), take (boat, train), hang, join	dā		6	Pictophonetic - Hand 扌 suggests the meaning while 荅 provides the pronunciation.	搭档[dādàng]: partner<br>搭配[dāpèi]: to pair up, to match, to arrange in pairs, to add something into a group<br>勾搭[gōuda]: to gang up, to fool around with, to make up to
赴	to go, to visit (e.g. another country), to attend (a banquet etc), be present	fù		6	Pictophonetic - Walk 走 suggests the meaning while 卜 provides the pronunciation	全力以赴[quánlìyǐfù]: do at all costs, make an all-out effort<br>赴汤蹈火[fùtāngdǎohuǒ]: to go through water and tread on fire, not afraid of any difficulty<br>赴约[fùyuē]: to keep an appointment
岳	mountain peak, surname	yuè		6	Ideograph - Mountains 山 and hills 丘	岳母[yuèmǔ]: wife's mother, mother-in-law<br>岳父[yuèfù]: wife's father, father-in-law<br>岳麓书院[yuèlùshūyuàn]: Yuelu Academy in Changsha, Hunan, famous ancient academy
嘉	excellent, joyful, auspicious	jiā		5	Pictophonetic - Good 壴 suggests the meaning while 加 provides the pronunciation.	嘉宾[jiābīn]: esteemed guest, honored guest<br>嘉奖[jiājiǎng]: to award, commendation, citation<br>嘉峪关[jiāyùguān]: Jiayuguan prefecture level city in Gansu
舱	cabin, the hold of a ship or airplane	cāng		6	Pictophonetic - Boat 舟 suggests the meaning while 仓 provides the pronunciation.	头等舱[tóuděngcāng]: first class<br>机舱[jīcāng]: cabin of a plane<br>船舱[chuáncāng]: hold of ship
俊	smart, eminent, talented, capable, handsome	jùn		5	Pictophonetic - Person 亻 suggests the meaning while 夋 provides the pronunciation.	英俊[yīngjùn]: handsome<br>俊俏[jùnqiào]: attractive and intelligent, charming, elegant<br>俊杰[jùnjié]: elite, outstanding talent, genius
址	location, site, a foundation	zhǐ		4	Pictophonetic - A location on earth 土, 止 provides sound	地址[dìzhǐ]: address<br>住址[zhùzhǐ]: address<br>网址[wǎngzhǐ]: website, web address, URL
庞	big, huge, messy	páng		6	Ideograph - A big house 广with a dragon 龙 inside it.	庞大[pángdà]: huge, enormous, tremendous<br>脸庞[liǎnpáng]: face<br>庞然大物[pángrándàwù]: huge monster, colossus
耕	to plow, to cultivate, to plow, to till	gēng		6	Pictophonetic - Plow 耒 suggests the meaning while 井 provides the pronunciation.	耕地[gēngdì]: arable land, to plow land<br>耕作[gēngzuò]: farming<br>耕种[gēngzhòng]: to till, to cultivate
锐	sharp, keen, acute, pointed	ruì		6	Pictophonetic - Metal 钅 suggests the meaning while 兑 provides the pronunciation.	尖锐[jiānruì]: sharp, intense, penetrating, pointed, acute (illness)<br>敏锐[mǐnruì]: keen, sharp, acute<br>锐利[ruìlì]: sharp, keen, acute, incisive, penetrating
缝	to sew, to stitch, to mend, seam(feng4), crack(feng4)	fèng	féng	6	Pictophonetic - Silk 纟 suggests the meaning while 逢 provides the pronunciation.	裁缝[cáiféng]: tailor, dressmaker<br>裂缝[lièfèng]: crack, crevice<br>缝合[fénghé]: to sew together, suture (in surgery), to sew up (a wound)
悔	repent, show remorse, regret	huǐ		4	Pictophonetic - Heart 忄 suggests the meaning while 每 provides the pronunciation.	后悔[hòuhuǐ]: to regret, to repent<br>悔恨[huǐhèn]: remorse, repentance<br>忏悔[chànhuǐ]: to confess, to repent, remorse, repentance, penitent
邀	to invite, to welcome, to meet, to intercept	yāo		4	Pictophonetic - Walk 辶 suggests the meaning while 敫 provides the pronunciation.	邀请[yāoqǐng]: to invite, invitation<br>应邀[yìngyāo]: at somebody's invitation, on invitation<br>邀请函[yāoqǐnghán]: invitation letter
